gid,nombre_barrio,dias_horairo,st_asgeojson
5,CENTRO,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8309693751741,-27.4764994494908],[-58.8314309843957,-27.4764381946324],[-58.8375553168533,-27.475660842232],[-58.8368549990389,-27.4686425999003],[-58.8366345678994,-27.4664728443772],[-58.8329442013316,-27.4667851908922],[-58.8290890357004,-27.4670495174811],[-58.8292074095201,-27.4682942356639],[-58.8293395611427,-27.469370972414],[-58.8299531427384,-27.475022484374],[-58.8301664631927,-27.4766013402606],[-58.8309693751741,-27.4764994494908]]]}"
1,JUAN DE VERA,,"{""type"":""Polygon"",""coordinates"":[[[-58.8408629343389,-27.4933022483252],[-58.8409009003112,-27.4933592050766],[-58.8409898475512,-27.4934008785534],[-58.8411173524577,-27.4933922703015],[-58.850681763509,-27.4916496868954],[-58.8514623039035,-27.4915102821906],[-58.8516857940131,-27.4885795140293],[-58.8517281801692,-27.4878825805027],[-58.8515579197926,-27.4878177082949],[-58.8513724056289,-27.4877432906748],[-58.8469779583704,-27.4859513369397],[-58.8466116545144,-27.4866850145159],[-58.8468337717095,-27.4879860677449],[-58.84554652898,-27.4881545248013],[-58.8440667164258,-27.4883481673842],[-58.8425399239245,-27.4885556066936],[-58.8411210410813,-27.488734221767],[-58.8403244398049,-27.4888287148063],[-58.8407241461755,-27.4922593113498],[-58.8408510678757,-27.4931918140594],[-58.8407938137757,-27.4932227651671],[-58.8408629343389,-27.4933022483252]]]}"
3,LIBERTAD,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8290890357004,-27.4670495174811],[-58.8225810397051,-27.4675387178826],[-58.8212599473927,-27.46757990792],[-58.819745308493,-27.4688893990608],[-58.8188675835361,-27.4696551605253],[-58.818709346241,-27.4697601336904],[-58.8185204369376,-27.4699469993441],[-58.8184522997314,-27.4700886042798],[-58.8184606034339,-27.4704537787108],[-58.8187060439714,-27.4715701820979],[-58.8193331590807,-27.4749528634111],[-58.819837945254,-27.4779061963481],[-58.8203796496556,-27.4778280628687],[-58.8301664631927,-27.4766013402606],[-58.8299531427384,-27.475022484374],[-58.8293395611427,-27.469370972414],[-58.8292074095201,-27.4682942356639],[-58.8290890357004,-27.4670495174811]]]}"
6,LA CRUZ,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8377370335346,-27.4756379390802],[-58.8435901722748,-27.4749072838748],[-58.8432776263109,-27.4715175010402],[-58.8432079137189,-27.4703254273372],[-58.843027346544,-27.4681026867022],[-58.841725833292,-27.4681761700045],[-58.8368549990389,-27.4686425999003],[-58.8375553168533,-27.475660842232],[-58.8377370335346,-27.4756379390802]]]}"
8,PEDRO FERRE,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8473985411239,-27.4744240361799],[-58.849486905928,-27.474168575275],[-58.8500241423421,-27.4741228739629],[-58.8497935725403,-27.4721855124121],[-58.8485010160524,-27.4722882308911],[-58.8472034548423,-27.4723894037297],[-58.8473985411239,-27.4744240361799]]]}"
7,CAMBA CUA,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8500241423421,-27.4741228739629],[-58.8556110580105,-27.473363312605],[-58.856138713268,-27.4733843944608],[-58.856202693125,-27.4733725941693],[-58.8559845759802,-27.4718511096658],[-58.8558277493695,-27.4717330183516],[-58.8556414953687,-27.4715791729785],[-58.8555153197247,-27.4713953582971],[-58.8554489074892,-27.4712120348033],[-58.8554074786358,-27.4710898425194],[-58.8553309553532,-27.4710587504907],[-58.8552882675588,-27.4710583995348],[-58.8552127674388,-27.4709283113395],[-58.8551537916414,-27.4708516691014],[-58.8550863570964,-27.4707673415513],[-58.8549861106884,-27.4705532766956],[-58.8549698621637,-27.4704731778858],[-58.8549535743023,-27.4703968866163],[-58.8549032938968,-27.4703050843219],[-58.8548708757694,-27.4701372715963],[-58.854830156427,-27.4699465433897],[-58.8548051738107,-27.4698854120543],[-58.8547635886605,-27.4697784497627],[-58.8547388423019,-27.4696944731614],[-58.8547057159942,-27.4695951961613],[-58.8546294301471,-27.4695412585234],[-58.8546049988852,-27.4694268215607],[-58.8545713215966,-27.4693808501253],[-58.8545031009223,-27.4693726731637],[-58.8543842857202,-27.4693031540393],[-58.8542486321216,-27.469210649062],[-58.8541810417036,-27.4691415512738],[-58.8541217524648,-27.4690953689661],[-58.8540287075509,-27.4690108301596],[-58.8537939151407,-27.4685976480331],[-58.8535751352526,-27.4682874097492],[-58.8534732388489,-27.4682332606373],[-58.8533110294768,-27.4682319248972],[-58.8531145919428,-27.4682379227781],[-58.852961314148,-27.4681985815398],[-58.8528853455261,-27.468114182664],[-58.8527925389535,-27.4680067978288],[-58.8526919050206,-27.4678308068582],[-58.8525144358047,-27.4676541826504],[-58.8524133293336,-27.4675238819802],[-58.8523288243126,-27.4674394124592],[-58.8522621828578,-27.4672789328203],[-58.8523147474881,-27.4671498986454],[-58.8523856485687,-27.4668991638611],[-58.8523610623532,-27.4667999567144],[-58.8523629555208,-27.4666171947494],[-58.8523715140763,-27.4665738627813],[-58.8523690341461,-27.4665729966014],[-58.8523025115369,-27.4665597068656],[-58.8522741652592,-27.466538237459],[-58.8521742714078,-27.4665289197548],[-58.8520883086845,-27.4665536940535],[-58.8520027419653,-27.4665402471804],[-58.8519220683308,-27.4665140991374],[-58.8518363696337,-27.4665133925354],[-58.8517222807697,-27.4664954631557],[-58.8516368902219,-27.4664650288989],[-58.8515376568392,-27.4663920088877],[-58.8514386437165,-27.4662977548583],[-58.8513823919276,-27.4662123477995],[-58.8513498132435,-27.4661398774581],[-58.851283555221,-27.4661011065061],[-58.8511740517635,-27.4661002031269],[-58.8511362278267,-27.4660744081489],[-58.8510557749504,-27.4660270256701],[-58.8509558816946,-27.4660177071083],[-58.8509038628854,-27.4659833006298],[-58.8508520202987,-27.4659319069747],[-58.8508384420294,-27.465863840472],[-58.8507771656144,-27.4658038746309],[-58.8506916877678,-27.4657819333945],[-58.8505726185805,-27.4657851977503],[-58.8504816748073,-27.465831165712],[-58.8504055427599,-27.4658262900616],[-58.8503154361762,-27.4657915689243],[-58.8502011720571,-27.4657906254813],[-58.8501247315303,-27.4658154771981],[-58.8500582096831,-27.4658021864108],[-58.8499535557363,-27.4657928278213],[-58.8498434354324,-27.4658513784385],[-58.8498097997737,-27.4658808306797],[-58.8497572523283,-27.46589738524],[-58.8497145355233,-27.4658842909234],[-58.8496865867629,-27.4658245999181],[-58.8496781670559,-27.4657183515623],[-58.849679225262,-27.4656164286525],[-58.8495995229766,-27.4654968499643],[-58.849505317412,-27.4653983871675],[-58.8494161376041,-27.4652744829227],[-58.8493739282631,-27.4652125504501],[-58.8493219544412,-27.4651738966157],[-58.8492267790139,-27.4651688629691],[-58.8491264456121,-27.4652020109962],[-58.8490550309468,-27.4652014207572],[-58.8489883772611,-27.4652008698344],[-58.8488794483629,-27.4651447564466],[-58.8487560601556,-27.4651055120431],[-58.8486234148844,-27.4650407080826],[-58.8485047437235,-27.4650057496136],[-58.8484432042406,-27.4649712635106],[-58.8483816647967,-27.4649367773813],[-58.8483393899549,-27.4648812147935],[-58.8482587184602,-27.4648550646854],[-58.8482498587139,-27.4647912841363],[-58.8482503443087,-27.4647445694867],[-58.8482131395817,-27.4646593187363],[-58.8481417694381,-27.4646544812535],[-58.848056293054,-27.4646325384388],[-58.8477243072515,-27.4645066243846],[-58.8474401525012,-27.4643598696874],[-58.8473502248106,-27.4643081595481],[-58.8473029247101,-27.4642780379677],[-58.8472556246356,-27.4642479163719],[-58.8471936883147,-27.4642516508036],[-58.8471370431641,-27.4642044632027],[-58.847047027366,-27.4641612464445],[-58.8469469152662,-27.4641731589898],[-58.8467851099552,-27.4641654483983],[-58.8466328928401,-27.4641514463072],[-58.846476578018,-27.4640737028526],[-58.8463395724053,-27.4639706362931],[-58.8461737804417,-27.4638885668435],[-58.8460078560418,-27.4638192375537],[-58.8458137645241,-27.4637114502688],[-58.8455868780061,-27.463552425062],[-58.8453883362471,-27.4634148702599],[-58.8452470584195,-27.4632650485882],[-58.8451811141434,-27.4631965473562],[-58.8450858521825,-27.4632000045008],[-58.8450002890544,-27.4631865534236],[-58.8449096994455,-27.4631985434987],[-58.8447767931563,-27.4631592166888],[-58.844630489934,-27.4630348356198],[-58.8444089210144,-27.4628227632995],[-58.8443192617855,-27.4627455705833],[-58.844229824157,-27.4626471439046],[-58.8440523227161,-27.4623186401595],[-58.8440292273225,-27.4622504940649],[-58.8439060657167,-27.4621900115926],[-58.8439256407448,-27.4621392083043],[-58.8439402776984,-27.4621053526172],[-58.843935959915,-27.462062845281],[-58.8439028556082,-27.4620413347203],[-58.843864768943,-27.4620410185356],[-58.8438263278032,-27.4620746765912],[-58.8437973196907,-27.4621169072504],[-58.843693290328,-27.4620480891378],[-58.8436021254119,-27.4621152865417],[-58.8435062881911,-27.4621739507841],[-58.8434062662648,-27.4621773672693],[-58.8433112711494,-27.4621553425424],[-58.8430982305994,-27.4620388998852],[-58.84272429591,-27.4618105730751],[-58.842598863839,-27.4619406983019],[-58.842776778215,-27.4636353557428],[-58.8429163812645,-27.4648064866635],[-58.8427743122771,-27.4648172747522],[-58.843027346544,-27.4681026867022],[-58.8432079137189,-27.4703254273372],[-58.8432776263109,-27.4715175010402],[-58.8435901722748,-27.4749072838748],[-58.8443081376966,-27.474812606529],[-58.8473985411239,-27.4744240361799],[-58.8472034548423,-27.4723894037297],[-58.8485010160524,-27.4722882308911],[-58.8497935725403,-27.4721855124121],[-58.8500241423421,-27.4741228739629]]]}"
9,DEPORTES,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.842776778215,-27.4636353557428],[-58.842598863839,-27.4619406983019],[-58.84272429591,-27.4618105730751],[-58.8425444198335,-27.4617055256731],[-58.8422995658933,-27.4615593343873],[-58.8420759294861,-27.4614109558854],[-58.8419284484996,-27.4613270170965],[-58.8418756903392,-27.4613053094493],[-58.8418174118888,-27.461304824794],[-58.8417088514516,-27.4612991954919],[-58.8415898925622,-27.4612745739049],[-58.8415107184184,-27.46124555675],[-58.8414371882212,-27.4611835015186],[-58.8413272636858,-27.4610549734876],[-58.8411812910699,-27.4608268904708],[-58.8410795118881,-27.4606795243229],[-58.8410480698066,-27.4606461776865],[-58.8410006101575,-27.4606245138099],[-58.8409290623514,-27.4606262815739],[-58.8408625406697,-27.4606540864787],[-58.84081713684,-27.4606891567655],[-58.8407848791366,-27.460733789314],[-58.8407792103492,-27.4607691903244],[-58.8408051566227,-27.4608213969796],[-58.8407760020049,-27.4608653666867],[-58.8407882985612,-27.4609134219668],[-58.8407985238292,-27.4609489552737],[-58.8408030061532,-27.4610269786115],[-58.8407624799507,-27.4611022640943],[-58.8406902396576,-27.4611701959249],[-58.8406210438496,-27.4612003416555],[-58.8404773046367,-27.461265314912],[-58.8403683981591,-27.4612927666633],[-58.8402227021302,-27.4612915534032],[-58.8401194151392,-27.4612883299926],[-58.840024099947,-27.4612828096926],[-58.8399787450692,-27.4613131536738],[-58.8399226209275,-27.4613599504188],[-58.8398643919657,-27.4613547389328],[-58.8396603927074,-27.4613554025906],[-58.839422253181,-27.4613274228949],[-58.8391736291085,-27.4612887209475],[-58.8390996794105,-27.4612668356192],[-58.8390553392807,-27.4612002960586],[-58.8390265466991,-27.4611669710652],[-58.8389632426843,-27.461140447989],[-58.8388969678217,-27.4611446218719],[-58.8387664975789,-27.4612073407567],[-58.838659992162,-27.4612584433026],[-58.8384531707466,-27.461275624143],[-58.8380183727899,-27.4613062635698],[-58.8378864423417,-27.4612555352785],[-58.8377815225987,-27.4611554048411],[-58.837396027439,-27.4612845270395],[-58.8373368107435,-27.4611209711008],[-58.8373025719331,-27.4611017795619],[-58.8372336728449,-27.4611035675317],[-58.8372124807545,-27.4611033905911],[-58.8371936401328,-27.4611315918155],[-58.837190073693,-27.4612190008507],[-58.8369516748422,-27.4612158284993],[-58.8369900799423,-27.4608380354475],[-58.8363559097226,-27.4607536550137],[-58.8362550810154,-27.4607391817165],[-58.8363514170821,-27.4619527887776],[-58.8364810765867,-27.4630493651314],[-58.8363413099362,-27.4630626696627],[-58.8364166089334,-27.4642376786825],[-58.8366345678994,-27.4664728443772],[-58.8368549990389,-27.4686425999003],[-58.841725833292,-27.4681761700045],[-58.843027346544,-27.4681026867022],[-58.8427743122771,-27.4648172747522],[-58.8429163812645,-27.4648064866635],[-58.842776778215,-27.4636353557428]]]}"
4,LA ROSADA,Martes y viernes desde las 14hs.,"{""type"":""Polygon"",""coordinates"":[[[-58.8225810397051,-27.4675387178826],[-58.8290890357004,-27.4670495174811],[-58.8329442013316,-27.4667851908922],[-58.8366345678994,-27.4664728443772],[-58.8364166089334,-27.4642376786825],[-58.8363413099362,-27.4630626696627],[-58.8364810765867,-27.4630493651314],[-58.8363514170821,-27.4619527887776],[-58.8362550810154,-27.4607391817165],[-58.8359318021177,-27.460671969954],[-58.8347001477681,-27.4604217142284],[-58.8337670322032,-27.4600364838306],[-58.8326937830398,-27.4596046601526],[-58.8325450127982,-27.4597997280807],[-58.8323038211583,-27.4596617956991],[-58.8323045636251,-27.4595913298975],[-58.8322940213018,-27.459520769479],[-58.8322436640458,-27.4594800775224],[-58.8321422070817,-27.4594691593568],[-58.8314361289101,-27.4600723162679],[-58.8312393873746,-27.4600001933182],[-58.8310980781762,-27.4599956890456],[-58.8300455051128,-27.4612358057521],[-58.8294874033151,-27.4612456136775],[-58.8293840723869,-27.4612834054878],[-58.8292721564712,-27.4613646179319],[-58.8251422598051,-27.4642160715335],[-58.8246546433471,-27.4646021840315],[-58.8215907493021,-27.4672982134254],[-58.8212599473927,-27.46757990792],[-58.8225810397051,-27.4675387178826]]]}"
2,De los Profecionales,,"{""type"":""Polygon"",""coordinates"":[[[-58.7783673190489,-27.4460834428753],[-58.7771907938143,-27.4493717865408],[-58.7812387833668,-27.4506352321961],[-58.7827420418504,-27.4467688287652],[-58.7788517525087,-27.4455940937478],[-58.7783673190489,-27.4460834428753]]]}"
